question,option_1,type_1,option_2,type_2,option_3,type_3,option_4,type_4
황금 같은 주말 꿈꾸는 완벽한 휴식은?,북적이는 핫플에서 지인들과 수다,사교형,집에서 혼자 책이나 OTT 시청,휴식형,야외에서 바람 맞으며 산책,활동형,원데이 클래스나 전시회 방문,감성형
새로운 사람들과의 모임에 초대받았다면?,"오 재밌겠다!" 설레며 당장 수락,사교형,아는 사람 있는지 확인 후 고민,분석형,기 빨릴 걱정하며 일단 알겠다고 함,감성형,정중히 거절하고 집에서 휴식,휴식형
스트레스를 풀 때 가장 효과적인 방법은?,친구와 맛있는 것 먹으며 회포 풀기,사교형,음악 들으며 혼자 걷기,휴식형,노래방이나 클럽에서 에너지 발산,활동형,일기 쓰거나 명상하며 마음 정리,감성형
팀 프로젝트나 동호회 활동 시 나의 역할은?,분위기를 주도하는 리더/사회자,사교형,묵묵히 임무 수행하는 실무자,휴식형,아이디어 쏟아내는 기획자,감성형,데이터 분석하고 검토하는 중재자,분석형
여행지에서 모르는 사람이 말을 걸어온다면?,자연스럽게 대화하며 정보 묻기,사교형,필요한 대답만 하고 자리 피하기,휴식형,당황해서 어색하게 웃으며 지나감,감성형,"이것도 인연!" 즉석에서 친구 되기,활동형
운동을 시작한다면 어떤 스타일이 끌리나요?,격렬하게 뛰는 구기 종목,활동형,내 몸에 집중하는 요가/필라테스,휴식형,혼자 기록 경신하는 헬스/러닝,분석형,짜릿한 스릴의 익스트림 스포츠,감성형
손으로 무언가 만드는 것에 대한 생각은?,결과물이 뚜렷한 베이킹/목공,활동형,섬세한 그림 그리기나 자수,감성형,논리적 구축의 조립이나 레고,분석형,완성된 것을 감상하는 것이 좋음,휴식형
화창한 날 당신의 몸은 어디에 있나요?,등산이나 캠핑 등 자연 속,활동형,에어컨 아래 게임이나 영화 시청,휴식형,도심 속 예쁜 카페나 쇼핑몰,사교형,공원 벤치에 앉아 사람 구경,감성형
'배움'에 대한 당신의 태도는?,직접 부딪히며 익히는 기술,활동형,머리로 이해하는 지식/인문학,분석형,감각을 깨우는 예술 활동,감성형,돈이 되는 실용적 자격증 공부,휴식형
평소 당신의 가방 속에는 무엇이 있나요?,카메라나 라켓 등 활동적 장비,활동형,책이나 다이어리 등 기록 도구,분석형,태블릿이나 게임기 등 디지털 기기,휴식형,최소한의 소지품만,감성형
취미를 고를 때 가장 중요한 기준은?,지금 당장 즐거운 재미,활동형,성취감과 보람 있는 실력 향상,분석형,마음의 평안과 스트레스 해소,휴식형,사람들을 만날 수 있는 인맥,사교형
새로운 장비를 사야 하는 상황이라면?,가성비와 성능 꼼꼼히 분석 후 구매,분석형,디자인이 예쁘고 마음에 들면 구매,감성형,남들이 많이 쓰는 베스트셀러 구매,사교형,장비 없이 시작 후 나중에 구매,휴식형
영화를 보고 난 후 당신의 반응은?,영상미와 여운을 깊게 곱씹음,감성형,스토리 개연성을 논리적 비판,분석형,장소 정보를 검색하며 액션 취함,활동형,재밌었다고 생각하고 바로 다음 일 함,휴식형
계획에 없던 갑작스러운 제안을 받는다면?,"오히려 좋아!" 설레며 합류,활동형,계획 틀어지는 게 싫어 거절,분석형,상태 체크 후 무리 없으면 응함,휴식형,당황해서 시뮬레이션 돌려봄,감성형
당신의 책상(혹은 방) 상태는 어떤가요?,모든 물건이 제자리에 있는 정리 상태,분석형,나만 아는 규칙의 정돈된 혼돈,휴식형,영감을 주는 소품들로 꾸며진 상태,감성형,물건 찾기 힘든 자유로운 상태,활동형
취미에 투자할 수 있는 시간은?,매일 조금씩 꾸준히,분석형,주말에 몰아서 확실하게,활동형,틈날 때마다 장소 불문 틈틈이,휴식형,한 달에 한두 번 큰맘 먹고,감성형
당신이 추구하는 삶의 모습은?,열정적으로 도전하며 성장하는 삶,활동형,평온하고 안락하며 여유로운 삶,휴식형,다양한 경험을 쌓으며 즐거운 삶,사교형,나만의 세계에 깊게 몰입하는 삶,분석형
무언가에 몰입했을 때 당신의 모습은?,주변 소리 안 들릴 만큼 깊게 빠짐,분석형,효율 따지며 목표치 달성 노력,활동형,쉬면서 과정을 즐기며 천천히 함,휴식형,의견 나누며 시너지 내는 걸 즐김,사교형
100만 원의 여윳돈을 취미에 쓴다면?,최고급 장비 풀세트 장만,활동형,전문적인 교육(레슨) 수강,분석형,해당 분야 성지로 여행 떠나기,감성형,소소한 관련 소품들 수집,휴식형
취미를 통해 얻고 싶은 최종 결과는?,멋지게 완성된 작품이나 기록,감성형,건강하고 탄탄한 몸과 정신,휴식형,깊이 있는 지식과 넓어진 안목,분석형,함께 웃고 즐길 소중한 사람들,사교형